"REC_TX_DT_YEAR","DON_HOSPITAL_STATE","CAN_HOSPITAL_STATE","N_TX","PCT_TX_DON_STATE","PCT_TX_CAN_STATE"
2018,"MO","NY",9,0.0410958904109589,0.023936170212766
2018,"MO","OH",5,0.0228310502283105,0.0132275132275132
2018,"MO","LA",4,0.0182648401826484,0.016260162601626
2018,"MO","IA",3,0.0136986301369863,0.103448275862069
2018,"MO","IN",2,0.0091324200913242,0.0137931034482759
2018,"MO","VA",2,0.0091324200913242,0.0121951219512195
2018,"MO","AZ",1,0.0045662100456621,0.00357142857142857
2018,"MO","FL",1,0.0045662100456621,0.00193423597678917
2018,"MO","MN",1,0.0045662100456621,0.00694444444444444
2018,"MO","NC",1,0.0045662100456621,0.00505050505050505
2018,"MO","TN",1,0.0045662100456621,0.00452488687782805
2018,"MS","MS",37,0.493333333333333,0.804347826086957
2018,"MS","FL",16,0.213333333333333,0.0309477756286267
2018,"MS","GA",8,0.106666666666667,0.0305343511450382
2018,"MS","LA",6,0.08,0.024390243902439
2018,"MS","AL",2,0.0266666666666667,0.0168067226890756
2018,"MS","TN",2,0.0266666666666667,0.00904977375565611
2018,"MS","AR",1,0.0133333333333333,0.027027027027027
2018,"MS","NY",1,0.0133333333333333,0.00265957446808511
2018,"MS","PR",1,0.0133333333333333,0.03125
2018,"MS","UT",1,0.0133333333333333,0.0131578947368421
2018,"MT","WA",18,0.782608695652174,0.127659574468085
2018,"MT","AZ",2,0.0869565217391304,0.00714285714285714
2018,"MT","NE",1,0.0434782608695652,0.0147058823529412
2018,"MT","NY",1,0.0434782608695652,0.00265957446808511
2018,"MT","OR",1,0.0434782608695652,0.0121951219512195
2018,"NC","NC",139,0.72020725388601,0.702020202020202
2018,"NC","VA",17,0.0880829015544041,0.103658536585366
2018,"NC","TN",15,0.077720207253886,0.0678733031674208
2018,"NC","NY",9,0.0466321243523316,0.023936170212766
2018,"NC","SC",5,0.0259067357512953,0.0675675675675676
2018,"NC","KY",4,0.0207253886010363,0.0481927710843374
2018,"NC","OH",2,0.0103626943005181,0.00529100529100529
2018,"NC","PA",1,0.00518134715025907,0.00214132762312634
2018,"NC","TX",1,0.00518134715025907,0.00143061516452074
2018,"ND","MN",12,0.8,0.0833333333333333
2018,"ND","WI",3,0.2,0.0182926829268293
2018,"NE","NE",34,0.80952380952381,0.5
2018,"NE","CO",3,0.0714285714285714,0.0280373831775701
2018,"NE","IA",1,0.0238095238095238,0.0344827586206897
2018,"NE","LA",1,0.0238095238095238,0.0040650406504065
2018,"NE","MN",1,0.0238095238095238,0.00694444444444444
2018,"NE","MO",1,0.0238095238095238,0.00598802395209581
2018,"NE","NY",1,0.0238095238095238,0.00265957446808511
2018,"NH","MA",16,0.842105263157895,0.0680851063829787
2018,"NH","CT",2,0.105263157894737,0.0357142857142857
2018,"NH","IN",1,0.0526315789473684,0.00689655172413793
2018,"NJ","PA",69,0.453947368421053,0.147751605995717
2018,"NJ","NJ",42,0.276315789473684,0.84
2018,"NJ","MD",28,0.184210526315789,0.14
2018,"NJ","DC",8,0.0526315789473684,0.0869565217391304
2018,"NJ","NY",2,0.0131578947368421,0.00531914893617021
2018,"NJ","CT",1,0.00657894736842105,0.0178571428571429
2018,"NJ","MA",1,0.00657894736842105,0.00425531914893617
2018,"NJ","OH",1,0.00657894736842105,0.00264550264550265
2018,"NM","CA",27,0.818181818181818,0.0343949044585987
2018,"NM","AZ",4,0.121212121212121,0.0142857142857143
2018,"NM","TX",1,0.0303030303030303,0.00143061516452074
2018,"NM","UT",1,0.0303030303030303,0.0131578947368421
2018,"NV","CA",98,0.748091603053435,0.12484076433121
2018,"NV","AZ",25,0.190839694656489,0.0892857142857143
2018,"NV","UT",7,0.0534351145038168,0.0921052631578947
2018,"NV","MN",1,0.00763358778625954,0.00694444444444444
2018,"NY","NY",295,0.951612903225806,0.784574468085106
2018,"NY","MA",6,0.0193548387096774,0.025531914893617
2018,"NY","OH",4,0.0129032258064516,0.0105820105820106
2018,"NY","IN",1,0.0032258064516129,0.00689655172413793
2018,"NY","MD",1,0.0032258064516129,0.005
2018,"NY","PA",1,0.0032258064516129,0.00214132762312634
2018,"NY","TX",1,0.0032258064516129,0.00143061516452074
2018,"NY","WI",1,0.0032258064516129,0.00609756097560976
2018,"OH","OH",279,0.861111111111111,0.738095238095238
2018,"OH","IN",16,0.0493827160493827,0.110344827586207
2018,"OH","MI",16,0.0493827160493827,0.0837696335078534
2018,"OH","NY",6,0.0185185185185185,0.0159574468085106
2018,"OH","FL",2,0.00617283950617284,0.00386847195357834
2018,"OH","MD",2,0.00617283950617284,0.01
2018,"OH","GA",1,0.00308641975308642,0.00381679389312977
2018,"OH","IL",1,0.00308641975308642,0.00374531835205993
2018,"OH","PA",1,0.00308641975308642,0.00214132762312634
2018,"OK","TX",60,0.521739130434783,0.0858369098712446
2018,"OK","OK",44,0.382608695652174,0.846153846153846
2018,"OK","LA",3,0.0260869565217391,0.0121951219512195
2018,"OK","AZ",2,0.0173913043478261,0.00714285714285714
2018,"OK","MA",2,0.0173913043478261,0.00851063829787234
2018,"OK","UT",2,0.0173913043478261,0.0263157894736842
2018,"OK","NE",1,0.00869565217391304,0.0147058823529412
