"YEAR","STATE","N_INTERNAL_LIVERS","N_EXPORTED_LIVERS","N_IMPORTED_LIVERS","MAJORITY_EXPORTER","MAJORITY_IMPORTER"
2021,"RI",0,16,0,TRUE,FALSE
2021,"SC",19,90,52,TRUE,TRUE
2021,"SD",1,13,5,TRUE,TRUE
2021,"TN",93,224,118,TRUE,TRUE
2021,"TX",532,156,185,FALSE,FALSE
2021,"UT",45,38,79,FALSE,TRUE
2021,"VA",39,130,174,TRUE,TRUE
2021,"VT",0,12,0,TRUE,FALSE
2021,"WA",95,66,41,FALSE,FALSE
2021,"WI",39,107,102,TRUE,TRUE
2021,"WV",0,77,0,TRUE,FALSE
2021,"WY",0,7,0,TRUE,FALSE
