"STATE_NAME","YEAR","DEATHS","POPULATION","DEATH_RATE","TRANSPLANTS","TRANSPLANT_RATE","DONORS","DONOR_RATE","WAITLIST_LISTINGS","LISTING_RATE","WAITLIST_SIZE","WAITLIST_SIZE_RATE","LISTING_DEATH_RATIO","TRANSPLANT_DEATH_RATIO","TRANSPLANT_LISTING_RATIO"
"Arizona","2019",1217,7278717,16.7199796337734,326,4.4788113069927,197,2.70652094318271,401,5.50921268130084,149,2.0470640636255,0.32949876746097,0.267871815940838,0.812967581047382
"Arizona","2020",1431,7421401,19.2820735599653,297,4.0019397954645,198,2.667959863643,389,5.24159791392488,163,2.19635079683742,0.27183787561146,0.207547169811321,0.763496143958869
"Arizona","2021",1773,7421401,23.8903678698941,311,4.19058342218673,202,2.72185804270649,411,5.5380378987741,180,2.42541805785727,0.231810490693739,0.175408911449521,0.75669099756691
"Arkansas","2018",455,3013825,15.0970942241172,37,1.22767579404909,50,1.65902134330958,54,1.79174305077435,31,1.02859323285194,0.118681318681319,0.0813186813186813,0.685185185185185
"Arkansas","2019",464,3017804,15.375418681929,43,1.42487716233394,59,1.95506401343493,61,2.02133736982256,33,1.09351038039581,0.131465517241379,0.0926724137931035,0.704918032786885
"Arkansas","2020",544,3030522,17.9507028822097,33,1.08892131454581,52,1.71587601079946,47,1.55088793283797,29,0.956930852176622,0.0863970588235294,0.0606617647058824,0.702127659574468
"Arkansas","2021",625,3030522,20.6235097451858,45,1.48489270165338,74,2.44182355383,53,1.74887362639176,24,0.791942774215135,0.0848,0.072,0.849056603773585
"California","2018",5390,39557045,13.6258914183302,816,2.06284367297911,679,1.71650839945198,1489,3.76418410424742,1113,2.81365809807077,0.276252319109462,0.15139146567718,0.548018804566823
"California","2019",5575,39512223,14.1095579461576,903,2.28536875791575,741,1.87536904719332,1553,3.93042932562919,1372,3.47234322908129,0.278565022421525,0.161973094170404,0.581455247907276
"California","2020",6180,39368078,15.6979977534082,959,2.43598379377322,738,1.87461526569826,1607,4.0819874417034,1571,3.99054279459617,0.260032362459547,0.155177993527508,0.596764156813939
"California","2021",7102,39368078,18.0399967709879,959,2.43598379377322,711,1.80603178036784,1623,4.12262950708439,1693,4.30043854312624,0.228527175443537,0.135032385243593,0.590881084411583
"Colorado","2018",832,5695564,14.6078597308361,119,2.08934532207873,85,1.49238951577052,173,3.03745160268588,146,2.5633984623823,0.207932692307692,0.143028846153846,0.687861271676301
"Colorado","2019",960,5758736,16.670324876848,148,2.57000841851406,103,1.78858693991181,208,3.61190372331706,149,2.58737334026078,0.216666666666667,0.154166666666667,0.711538461538462
"Colorado","2020",1141,5807719,19.646267321129,121,2.08343413309081,133,2.2900557000089,177,3.04766811204192,130,2.23840030827938,0.15512708150745,0.106047326906223,0.68361581920904
"Colorado","2021",1234,5807719,21.2475844647442,145,2.496677266927,122,2.10065259700065,259,4.45958215264891,147,2.53111419474668,0.209886547811994,0.117504051863857,0.55984555984556
"Connecticut","2018",350,3572665,9.79660841416702,60,1.67941858528577,54,1.5114767267572,109,3.05094376326916,75,2.09927323160722,0.311428571428571,0.171428571428571,0.55045871559633
"Connecticut","2019",418,3565287,11.7241613368012,48,1.34631517743172,59,1.65484573892649,116,3.25359501212665,114,3.19749854640033,0.277511961722488,0.114832535885167,0.413793103448276
"Connecticut","2020",543,3557006,15.2656475698945,48,1.34944950894095,58,1.63058482330364,104,2.92380726937205,141,3.96400793251403,0.191528545119705,0.0883977900552486,0.461538461538462
"Connecticut","2021",550,3557006,15.4624422899483,53,1.49001716612229,70,1.96794720053888,103,2.89569373793578,144,4.04834852682284,0.187272727272727,0.0963636363636364,0.514563106796116
"Delaware","2018",109,967171,11.2699822471931,0,0,46,4.75613929698058,0,0,0,0,0,0,NA
"Delaware","2019",118,973764,12.1179259040178,0,0,52,5.34010294075361,0,0,0,0,0,0,NA
"Delaware","2020",143,986809,14.4911527965391,0,0,49,4.96549990930362,0,0,0,0,0,0,NA
"Delaware","2021",146,986809,14.7951629950679,0,0,57,5.77619377204707,0,0,0,0,0,0,NA
"District of Columbia","2018",59,702455,8.39911453402709,92,13.0969243581439,32,4.55545195065876,176,25.0549857286232,125,17.7947341822608,2.98305084745763,1.55932203389831,0.522727272727273
"District of Columbia","2019",64,705749,9.06837983475712,96,13.6025697521357,32,4.53418991737856,166,23.5211101964013,144,20.4038546282035,2.59375,1.5,0.578313253012048
"District of Columbia","2020",57,712816,7.99645350272721,105,14.7303090839712,26,3.64750510650715,167,23.4282058764113,165,23.1476285605261,2.92982456140351,1.84210526315789,0.62874251497006
"District of Columbia","2021",65,712816,9.11876276626787,112,15.7123296895693,26,3.64750510650715,153,21.4641646652151,156,21.8850306390429,2.35384615384615,1.72307692307692,0.73202614379085
"Florida","2018",3345,21299325,15.7047230369977,517,2.42730696864807,535,2.51181668902653,744,3.49306844230979,374,1.75592419008584,0.222421524663677,0.154559043348281,0.69489247311828
"Florida","2019",3192,21477737,14.8619009535316,625,2.90999000499913,584,2.71909466067119,825,3.84118680659885,425,1.97879320339941,0.258458646616541,0.195802005012531,0.757575757575758
"Florida","2020",3744,21733312,17.2270107749799,625,2.87576969400706,611,2.8113524528613,843,3.87883816327672,443,2.03834555911221,0.225160256410256,0.166933760683761,0.741399762752076
"Florida","2021",3911,21733312,17.9954164372186,721,3.31748791900655,662,3.04601525989228,929,4.2745440731721,413,1.90030861379987,0.237535157248785,0.184351828176937,0.776103336921421
"Georgia","2018",1171,10519475,11.1317342357865,265,2.51913712423861,235,2.23395178941915,340,3.23210046128728,180,1.71111200891679,0.290350128095645,0.226302305721605,0.779411764705882
"Georgia","2019",1230,10617423,11.5847320013529,269,2.53357147021457,252,2.37345728808205,401,3.77681100206707,244,2.29810943766675,0.326016260162602,0.21869918699187,0.670822942643391
"Georgia","2020",1470,10710017,13.7254684096206,260,2.42763386836828,239,2.23155574823084,355,3.31465393565668,260,2.42763386836828,0.241496598639456,0.17687074829932,0.732394366197183
"Georgia","2021",1636,10710017,15.2754192640404,276,2.57702672180632,251,2.34360038830937,348,3.24929456227754,222,2.07282584145291,0.212713936430318,0.168704156479218,0.793103448275862
"Hawaii","2018",120,1420491,8.44778319609206,11,0.774380126308438,19,1.33756567271458,15,1.05597289951151,8,0.563185546406137,0.125,0.0916666666666667,0.733333333333333
"Hawaii","2019",126,1415872,8.89910952402477,13,0.918162093748587,21,1.4831849206708,21,1.4831849206708,12,0.847534240383311,0.166666666666667,0.103174603174603,0.619047619047619
"Hawaii","2020",147,1407006,10.4477166408672,16,1.13716643710119,18,1.27931224173884,23,1.63467675333296,15,1.06609353478237,0.156462585034014,0.108843537414966,0.695652173913043
"Hawaii","2021",177,1407006,12.5799037104319,17,1.20823933942002,19,1.35038514405767,23,1.63467675333296,18,1.27931224173884,0.129943502824859,0.096045197740113,0.739130434782609
"Idaho","2018",249,1754208,14.1944398839818,0,0,30,1.71017347999781,0,0,0,0,0,0,NA
"Idaho","2019",249,1787065,13.9334607303036,0,0,28,1.56681486123896,0,0,0,0,0,0,NA
"Idaho","2020",322,1826913,17.625360375672,0,0,29,1.58737717669095,0,0,0,0,0,0,NA
"Idaho","2021",351,1826913,19.2127375523629,0,0,42,2.29896004900069,0,0,0,0,0,0,NA
"Illinois","2018",1421,12741080,11.1529006960164,279,2.18976727247612,310,2.43307474719568,411,3.22578619708847,204,1.6011201562191,0.289232934553132,0.1963406052076,0.678832116788321
